verb,context,index,label
,"From thine embrace still startles coy,",0,
,And in gay Holyrood the while,0,
,"Dismiss the bow, and lay thy arrows by:",0,
,"At a new boat's keel was working,",0,
,"Bring me wine, bring it quick, make no halt!",0,
,"literature, at the period of its highest perfection.",0,
,"Stanza xxii.      ""Unhappy Vathek! in an evil hour,""--",0,
,"Fast and deep the river floweth,",0,
,And his guest now to the garden.,0,
,"Their father's honour, but more blest to whom",0,
,With Him who knows and satisfies her needs.,0,
,"And implore the very Highest,",0,
,"As patient as a statue carved in stone,",0,
,"Thou reach, expectance may not weary thee,",0,
,"Such the spell I cast upon you,",0,
,"Name the third of the destroyers.""",0,
,"Then up and spake an old sailor,",0,
,On that big inflated ball.,0,
,"Where, crowned with roses, stands the DAWN,",0,
,"Because the angels, bidden to receive",0,
,"And hearken to the birds love-learned song,",0,
,"Thou shalt receive rich guerdon, when he hears",0,
,"And musing on the little lives of men,",0,
,So fain would I come to thee!,0,
,"And swear, all shame is lost in George's age!",0,
,Idea of the struggle with Nature as ordained by,0,
,His greedy creditors unpitying seized:,0,
,"His steed was black, his helm was barred;",0,
,"Remember, Mary, if he calls",0,
,"Tuscany--Guido Guinicelli of Bologna--The ""new school""--How it",0,
,My soul would lie,0,
,"Stands, the rind to pound from off them,",0,
,"Fair trees! wheres'e'er your barks I wound,",0,
,"So, although the grape is wanting,",0,
,"To him and his heathen horde.""",0,
,"Coffin on back took he,",0,
,"Who sets the world at chance, Diogenes,",0,
,Five o'clock; the first faint streak,0,
,"Some days before from France, was visiting",0,
,"In various style, for neither various style",0,
,Shall to the shield maintain in warlike course.,0,
,"Take ruth and pity on my plaint, or else I am forlorn;",0,
,"If that he wiste forto spede,",0,
,"Since dream he must, where'er he goes,",0,
,"the oracle, and the hopes of the enquirer come",0,
,And over the Great Divide.,0,
,"""O mightiest duke of Trojan men,--for surely, thou being safe,",0,
,"Oh! mother, couldst thou see me here,",0,
,"though rapture blind my eyes,",0,
,"""These altogether doth our sovereign hide",0,
,"The saint who enjoyed the communion of heaven,",0,
,because in saying this I feel that I more at large rejoice. One,0,
,"In tearfullest banishment, is bliss.",0,
,And hearing the sturdy Judiciary Chief,0,
,"Far, far at sea,",0,
,His posture shifts not; no excessive fears,0,
,(Thus quick replied the wisest of mankind),0,
,"With eyes downbent, and brotherly bared head,",0,
,"The flames shot from a painted fire,",0,
,I plough the unknown.,0,
,"""O friars!""  I began, ""your miseries--""",0,
,"And thus withinne himself bethoght,",0,
,"Great is the palace with pillar and wall,",0,
,Could help a brother's soul?,0,
,"{9} Middle Argos means the Peleponnese which, however, is never",0,
,And so it's better as it is--,0,
,She smiled but said no word:,0,
,Trusty seldom found his match!,0,
,"I pause, and drop the silent tear,--",0,
,"'Twas but a dream! and oh! what are they all,",0,
,"And, close on them, dear noisy crew,",0,
,"Now that beyond the' accursed stream she dwells,",0,
,"Who swelling sayles in Caspian sea doth crosse,",0,
,"Still on this side, perhaps that it might shun",0,
,For these young flippertigibbets,0,
,"Helen and all her treasures. We, thenceforth,",0,
,"For Titan was thy sire, and fair was she,",0,
,"But on the top, and burns at first but slow.",0,
,"Of the city, stay thy feet!",0,
,"_Et, ecce, nunc in pulvere dormio!_",0,
,All is so bodingly still;,0,
,"You know, as any feller will",0,
,"And oâ€™er him, as he listened, came",0,
,The moment grim death planted darts in his breast.,0,
,"He got the chief-ship of police,",0,
,Hell gapeth wide to swallow up this tent;,0,
,"A melting creature with a bold black eye,",0,
,Each his fiery charger had in due command;,0,
,"Thy severed hand, Larides, seeks its lord;",0,
,"Por ellas, quien no estuviere",0,
,Whose shrine commemorates the faith,0,
,The petty triumphs of the passing hour!,0,
,One whose yellow head was kissed,0,
,"And gallant men of might,",0,
,"Bullet, I think.  You were speaking of his daughter?",0,
,He only lendeth.,0,
,"To his grim Cave, all dismal; yet to sense",0,
,Soon shall wild creatures of the field and wood,0,
,"Then I sall rest an be at peace,",0,
,To bitter skies.,0,
